[Time:2024-07-05T18:20:46, Location:安招里 安南路30號, (x,y):(120.34313,22.78526)]
[Time:2024-07-05T18:21:46, Location:安招里 安東街2之1號(手工洗車), (x,y):(120.34402,22.78491)]
[Time:2024-07-05T18:22:46, Location:高雄市燕巢區 高35 安東街, (x,y):(120.34399,22.78558)]
[Time:2024-07-05T18:23:46, Location:高雄市燕巢區 高35 安東街, (x,y):(120.34346,22.78794)]
[Time:2024-07-05T18:24:46, Location:高雄市燕巢區 高35 安東街, (x,y):(120.34307,22.79074)]
[Time:2024-07-05T18:25:46, Location:高雄市燕巢區 高35 安東街, (x,y):(120.34309,22.79061)]
[Time:2024-07-05T18:26:46, Location:高雄市燕巢區 高35 安東街, (x,y):(120.34309,22.7906)]
[Time:2024-07-05T18:27:46, Location:高雄市燕巢區 高35 安東街, (x,y):(120.34324,22.79053)]
[Time:2024-07-05T18:28:46, Location:高雄市燕巢區 高35 安東街, (x,y):(120.34324,22.79053)]
[Time:2024-07-05T18:29:46, Location:高雄市燕巢區 高35 安東街, (x,y):(120.34324,22.79053)]
[Time:2024-07-05T18:30:46, Location:高雄市燕巢區 高35 安東街, (x,y):(120.34324,22.79053)]
[Time:2024-07-05T18:31:46, Location:高雄市燕巢區 高35 安東街, (x,y):(120.34324,22.79053)]
[Time:2024-07-05T18:32:46, Location:高雄市燕巢區 高35 安東街, (x,y):(120.34307,22.78917)]
[Time:2024-07-05T18:33:46, Location:高雄市燕巢區 高35 安東街, (x,y):(120.34297,22.78914)]
[Time:2024-07-05T18:34:46, Location:高雄市燕巢區 安正路, (x,y):(120.3429,22.78908)]
[Time:2024-07-05T18:35:46, Location:高雄市燕巢區 安正路, (x,y):(120.3429,22.78908)]
[Time:2024-07-05T18:36:46, Location:高雄市燕巢區 安正路, (x,y):(120.3429,22.78908)]
[Time:2024-07-05T18:37:46, Location:高雄市燕巢區 安正路, (x,y):(120.3429,22.78908)]
[Time:2024-07-05T18:38:46, Location:高雄市燕巢區 安正路, (x,y):(120.3429,22.78908)]
[Time:2024-07-05T18:39:46, Location:高雄市燕巢區 安正路, (x,y):(120.3429,22.78908)]
[Time:2024-07-05T18:40:46, Location:高雄市燕巢區 安正路, (x,y):(120.3429,22.78908)]
[Time:2024-07-05T18:41:46, Location:高雄市燕巢區 安正路, (x,y):(120.3429,22.78908)]
[Time:2024-07-05T18:42:46, Location:高雄市燕巢區 安正路, (x,y):(120.3429,22.78908)]
[Time:2024-07-05T18:43:46, Location:高雄市燕巢區 安正路, (x,y):(120.3429,22.78908)]
[Time:2024-07-05T18:44:46, Location:高雄市燕巢區 安正路, (x,y):(120.3429,22.78908)]
[Time:2024-07-05T18:45:46, Location:高雄市燕巢區 安正路, (x,y):(120.3429,22.78908)]
[Time:2024-07-05T18:46:46, Location:高雄市燕巢區 安正路, (x,y):(120.3429,22.78908)]
[Time:2024-07-05T18:47:46, Location:高雄市燕巢區 安正路, (x,y):(120.3429,22.78908)]
[Time:2024-07-05T18:48:46, Location:高雄市燕巢區 安正路, (x,y):(120.3429,22.78908)]
[Time:2024-07-05T18:49:46, Location:高雄市燕巢區 安正路, (x,y):(120.3429,22.78908)]
